smiles,homo,lumo,Name
OC(O)C1C2CCC3CC4CCC5CC6CCC7C(C(O)O)C8CCC9CC%10CCC%11CC%12CCC1C1C%12C%12C%11C%10C%10C9C8C8C7C6C6C5C4C4C3C2C1C1C4C6C8C%10C%121,-5.18179073,-2.84137262,1-ZH_C-2COOH-edge.pdb
OCC1CCC2C3CCC4C5CCC6C7CCC(CO)C8CCCC(C9CCC(C%10CCC(C%11CCCC1C%112)C3C%104)C5C96)C87,-4.9143066,-3.21824497,2-AH_NR4_2_2COH_edge.pdb
ONC1C2CCCC3C4CCC5C6CCCC7C(NO)C8CCCC9C%10CCC%11C%12CCCC1C%12C(C32)C1C4C5C(C%10C%111)C(C67)C98,-4.99566749,-4.17062997,3-AH_NR-2NO.pdb
NCC1C2CCCC3C4CCC5C6CCCC7C(CN)C8CC9CCCC%10C%11CCC%12C%13CCCC%14CC1C1C(C%14%13)C%13C%12C%11C%11C(C9%10)C8C(C76)C6C5C4C(C1C23)C%13C%116,-4.39702549,-3.94124124,4-AH_NR3_4-2CN-edge.pdb
ONC1CC2C3CCCC4C5CCCC6C7CC(NO)CC8C9CCCC%10C%11CCCC%12C(C1)C2C1C(C43)C(C56)C(C78)C(C%109)C1C%11%12,-5.86886848,-3.28817724,5-AHC-2NO.pdb
C1CC2CC3CC4CCCC5C6CCC7C8CCC9C%10CCCC%11CC%12CC%13CCCC%14C%15CCC%16C%17CCC%18C(C1)C2C1B2C%18C%17C%17C%18C%16C%15C%15C(C%13%14)C%12C(C%11%10)C%10C9C8C(C%18C%15%10)C8C%17C2N(C6C78)C(C45)C31,-3.67756665,-3.43919829,6-AH_NR4_4-B-N.pdb
C1CC2CC3CCC4CC5CCC6CC7CCC8CC9CCC%10CC%11CCC%12CC1C1B%13C%14B%15C(C21)C3C4C1C%15C2C(C6C51)C7C8C1C9C%10C(C%11C%13%12)C%14C21,-4.81580278,-3.8231455,7-ZH_C-2B.pdb
[H][Si]1C[Si]2C3[Si]([H])C[Si]([H])C4[Si]5C[Si](CN)C[Si]6C7[Si]([H])C[Si]([H])C8[Si]9C[Si]([SH](O)O)C[Si]%10C%11[Si]([H])C(NO)[Si]([H])C%12[Si](C1)C2[Si]1C([Si]43)[Si](C56)C([Si]78)[Si](C9%10)C1[Si]%12%11,-5.78179328,-3.00899238,8-AHSiC-NO-CN-SO2H.pdb
[H][Si]1C[Si]2C[Si]3C[Si]([H])C[Si]4[C@@H]3[Si]3C2[Si](C1)[C@@H]1[Si]([H])C[Si]2C5[Si]([H])C[Si]([H])C6[Si]5C5[Si]7C2[Si]1N3[Si]1[C@H]7[Si](C[Si@]([H])N41)[C@H]1[Si]5C([Si]([H])C[Si@@]1[H])[Si@@]6[H],-3.57035531,-2.90994434,9-AHSiC_NR-C_2N.pdb
[H][Si]1C[Si]2C[Si]([H])C[Si]3B4[Si]([H])C[Si]([H])C5[Si]([H])C[Si]([H])B([Si](C1)C23)[Si]45,-5.25117878,-3.80028826,10-NR_SiC0-C_2B.pdb
